R,G,B,cebolla,manzana,limon,zanahoria
51,109,134,0,0,0,1
52,117,133,0,0,0,1
51,117,131,0,0,0,1
51,115,134,0,0,0,1
52,116,127,0,0,0,1
52,117,133,0,0,0,1
52,114,127,0,0,0,1
52,109,135,0,0,0,1
51,117,133,0,0,0,1
51,114,134,0,0,0,1
51,117,133,0,0,0,1
51,117,125,0,0,0,1
52,116,132,0,0,0,1
52,114,131,0,0,0,1
51,112,131,0,0,0,1
51,106,131,0,0,0,1
52,113,125,0,0,0,1
51,111,132,0,0,0,1
52,111,133,0,0,0,1
51,116,131,0,0,0,1
52,117,125,0,0,0,1
52,115,131,0,0,0,1
52,113,132,0,0,0,1
45,117,132,0,0,0,1
52,117,133,0,0,0,1
52,114,132,0,0,0,1
51,117,132,0,0,0,1
52,105,133,0,0,0,1
52,114,131,0,0,0,1
51,116,131,0,0,0,1
46,117,132,0,0,0,1
52,114,125,0,0,0,1
52,117,132,0,0,0,1
52,112,132,0,0,0,1
52,114,131,0,0,0,1
51,117,132,0,0,0,1
51,111,132,0,0,0,1
52,112,131,0,0,0,1
52,111,133,0,0,0,1
52,111,132,0,0,0,1
51,113,132,0,0,0,1
52,111,134,0,0,0,1
52,111,133,0,0,0,1
51,113,131,0,0,0,1
52,117,132,0,0,0,1
52,106,133,0,0,0,1
52,119,130,0,0,0,1
51,111,132,0,0,0,1
52,111,133,0,0,0,1
52,111,131,0,0,0,1
52,111,132,0,0,0,1
52,113,125,0,0,0,1
51,115,131,0,0,0,1
52,111,132,0,0,0,1
52,113,131,0,0,0,1
52,110,131,0,0,0,1
52,112,132,0,0,0,1
52,114,130,0,0,0,1
52,111,132,0,0,0,1
52,112,131,0,0,0,1
52,110,129,0,0,0,1
51,111,133,0,0,0,1
52,113,131,0,0,0,1
51,114,130,0,0,0,1
52,114,132,0,0,0,1
51,111,133,0,0,0,1
52,114,131,0,0,0,1
51,111,133,0,0,0,1
52,112,132,0,0,0,1
52,113,131,0,0,0,1
51,105,131,0,0,0,1
52,112,126,0,0,0,1
52,112,131,0,0,0,1
51,117,132,0,0,0,1
51,112,132,0,0,0,1
51,106,131,0,0,0,1
51,117,131,0,0,0,1
52,113,131,0,0,0,1
51,113,133,0,0,0,1
52,106,132,0,0,0,1
52,113,126,0,0,0,1
52,111,131,0,0,0,1
