R,G,B,cebolla,manzana,limon,zanahoria
63,144,138,0,1,0,0
64,145,138,0,1,0,0
63,140,138,0,1,0,0
63,145,138,0,1,0,0
63,142,130,0,1,0,0
64,146,131,0,1,0,0
63,148,137,0,1,0,0
63,141,130,0,1,0,0
64,147,137,0,1,0,0
63,142,139,0,1,0,0
63,142,138,0,1,0,0
64,139,139,0,1,0,0
63,141,139,0,1,0,0
62,144,138,0,1,0,0
58,144,136,0,1,0,0
63,142,135,0,1,0,0
63,146,137,0,1,0,0
58,143,136,0,1,0,0
63,146,138,0,1,0,0
63,146,134,0,1,0,0
63,149,138,0,1,0,0
63,142,139,0,1,0,0
64,143,130,0,1,0,0
63,146,138,0,1,0,0
63,142,140,0,1,0,0
64,142,138,0,1,0,0
63,139,139,0,1,0,0
63,142,139,0,1,0,0
63,143,130,0,1,0,0
64,144,138,0,1,0,0
63,144,139,0,1,0,0
63,144,138,0,1,0,0
63,138,138,0,1,0,0
63,143,140,0,1,0,0
65,145,138,0,1,0,0
63,148,137,0,1,0,0
64,145,132,0,1,0,0
64,146,139,0,1,0,0
64,146,137,0,1,0,0
63,141,125,0,1,0,0
63,140,130,0,1,0,0
57,143,131,0,1,0,0
63,147,132,0,1,0,0
63,136,130,0,1,0,0
64,147,139,0,1,0,0
63,141,133,0,1,0,0
63,144,130,0,1,0,0
63,146,137,0,1,0,0
62,143,132,0,1,0,0
63,145,129,0,1,0,0
63,147,138,0,1,0,0
63,144,139,0,1,0,0
63,144,138,0,1,0,0
62,147,130,0,1,0,0
63,143,140,0,1,0,0
63,144,138,0,1,0,0
63,148,131,0,1,0,0
63,143,140,0,1,0,0
63,143,130,0,1,0,0
63,147,132,0,1,0,0
63,141,140,0,1,0,0
64,145,138,0,1,0,0
63,140,138,0,1,0,0
63,143,131,0,1,0,0
63,145,138,0,1,0,0
63,144,132,0,1,0,0
63,142,139,0,1,0,0
64,144,130,0,1,0,0
63,139,138,0,1,0,0
63,143,131,0,1,0,0
63,142,130,0,1,0,0
63,145,131,0,1,0,0
63,143,131,0,1,0,0
63,140,137,0,1,0,0
63,144,139,0,1,0,0
63,142,139,0,1,0,0
64,145,138,0,1,0,0
63,146,131,0,1,0,0
62,142,131,0,1,0,0
64,137,130,0,1,0,0
63,145,138,0,1,0,0
63,141,130,0,1,0,0
64,135,130,0,1,0,0
63,147,138,0,1,0,0
57,142,130,0,1,0,0
64,142,130,0,1,0,0
62,144,138,0,1,0,0
63,139,131,0,1,0,0
63,142,130,0,1,0,0
63,137,138,0,1,0,0
63,141,130,0,1,0,0
64,143,129,0,1,0,0
62,137,130,0,1,0,0
63,142,139,0,1,0,0
63,143,130,0,1,0,0
63,144,133,0,1,0,0
63,144,130,0,1,0,0
64,142,130,0,1,0,0
63,144,138,0,1,0,0
63,140,131,0,1,0,0
63,144,136,0,1,0,0
62,142,130,0,1,0,0
63,139,130,0,1,0,0
63,140,124,0,1,0,0
63,142,130,0,1,0,0
62,140,125,0,1,0,0
63,140,130,0,1,0,0
63,141,130,0,1,0,0
63,142,130,0,1,0,0
63,141,130,0,1,0,0
62,143,133,0,1,0,0
63,139,131,0,1,0,0
57,141,130,0,1,0,0
62,141,133,0,1,0,0
63,146,131,0,1,0,0
63,147,131,0,1,0,0
63,140,130,0,1,0,0
63,146,131,0,1,0,0
63,142,130,0,1,0,0
62,134,124,0,1,0,0
62,147,131,0,1,0,0
64,133,124,0,1,0,0
63,141,130,0,1,0,0
62,141,126,0,1,0,0
63,147,131,0,1,0,0
63,135,124,0,1,0,0
63,148,131,0,1,0,0
63,133,130,0,1,0,0
63,143,130,0,1,0,0
63,140,131,0,1,0,0
62,140,130,0,1,0,0
63,142,124,0,1,0,0
63,139,131,0,1,0,0
63,141,124,0,1,0,0
63,143,130,0,1,0,0
63,139,131,0,1,0,0
62,139,130,0,1,0,0
63,141,130,0,1,0,0
63,134,125,0,1,0,0
63,142,130,0,1,0,0
63,144,124,0,1,0,0
62,139,131,0,1,0,0
64,140,130,0,1,0,0
64,144,129,0,1,0,0
63,140,131,0,1,0,0
63,148,130,0,1,0,0
64,141,130,0,1,0,0
63,147,130,0,1,0,0
63,147,124,0,1,0,0
63,142,130,0,1,0,0
62,142,139,0,1,0,0
63,140,130,0,1,0,0
64,143,130,0,1,0,0
64,136,139,0,1,0,0
63,142,130,0,1,0,0
64,144,138,0,1,0,0
63,137,139,0,1,0,0
63,144,129,0,1,0,0
64,145,138,0,1,0,0
63,136,139,0,1,0,0
63,144,130,0,1,0,0
63,139,138,0,1,0,0
63,144,138,0,1,0,0
63,144,138,0,1,0,0
64,145,129,0,1,0,0
63,142,138,0,1,0,0
63,143,130,0,1,0,0
64,144,138,0,1,0,0
63,141,138,0,1,0,0
